Date,Time,Sci_Name,Com_Name,Confidence,File_Name,month_num,annual_mean,annual_max,n_months_present,rarity,present_m1,present_m2,present_m3,present_m4,present_m5,present_m6,present_m7,present_m8,present_m9,present_m10,present_m11,present_m12,in_bc_list,flag_not_in_bc,flag_low_conf,flag_out_of_season,flag_rare_status,flag_early_deploy,flag_suspect
2024-06-15,05:32:41,Turdus migratorius,American Robin,0.75173795,American_Robin-75-2024-06-15-birdnet-05:32:41.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:32:56,Calypte anna,Annas Hummingbird,0.8937123,Annas_Hummingbird-89-2024-06-15-birdnet-05:32:56.mp3,6,0.2228265375,0.280660625,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:33:41,Pipilo maculatus,Spotted Towhee,0.73226804,Spotted_Towhee-73-2024-06-15-birdnet-05:33:41.mp3,6,0.32626185625,0.3705701,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:36:26,Turdus migratorius,American Robin,0.7812479,American_Robin-78-2024-06-15-birdnet-05:36:26.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:37:41,Tachycineta thalassina,Violet-green Swallow,0.88028145,Violet-green_Swallow-88-2024-06-15-birdnet-05:37:41.mp3,6,0.09179453124999999,0.283461025,9,Common,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:37:41,Tachycineta thalassina,Violet-green Swallow,0.8482237,Violet-green_Swallow-85-2024-06-15-birdnet-05:37:41.mp3,6,0.09179453124999999,0.283461025,9,Common,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:38:11,Tachycineta thalassina,Violet-green Swallow,0.8599788,Violet-green_Swallow-86-2024-06-15-birdnet-05:38:11.mp3,6,0.09179453124999999,0.283461025,9,Common,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:38:41,Tachycineta thalassina,Violet-green Swallow,0.8816883,Violet-green_Swallow-88-2024-06-15-birdnet-05:38:41.mp3,6,0.09179453124999999,0.283461025,9,Common,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:38:41,Turdus migratorius,American Robin,0.7138228,American_Robin-71-2024-06-15-birdnet-05:38:41.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:39:56,Turdus migratorius,American Robin,0.79058456,American_Robin-79-2024-06-15-birdnet-05:39:56.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:39:56,Turdus migratorius,American Robin,0.7374577,American_Robin-74-2024-06-15-birdnet-05:39:56.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:39:56,Turdus migratorius,American Robin,0.7087802,American_Robin-71-2024-06-15-birdnet-05:39:56.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:39:56,Turdus migratorius,American Robin,0.70055676,American_Robin-70-2024-06-15-birdnet-05:39:56.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:40:11,Turdus migratorius,American Robin,0.7325541,American_Robin-73-2024-06-15-birdnet-05:40:11.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:40:56,Turdus migratorius,American Robin,0.78840655,American_Robin-79-2024-06-15-birdnet-05:40:56.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:41:26,Tachycineta thalassina,Violet-green Swallow,0.93047684,Violet-green_Swallow-93-2024-06-15-birdnet-05:41:26.mp3,6,0.09179453124999999,0.283461025,9,Common,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:41:56,Turdus migratorius,American Robin,0.8815212,American_Robin-88-2024-06-15-birdnet-05:41:56.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:42:26,Tachycineta thalassina,Violet-green Swallow,0.7750338,Violet-green_Swallow-78-2024-06-15-birdnet-05:42:26.mp3,6,0.09179453124999999,0.283461025,9,Common,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:42:41,Turdus migratorius,American Robin,0.78702384,American_Robin-79-2024-06-15-birdnet-05:42:41.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:42:56,Tachycineta thalassina,Violet-green Swallow,0.8938706,Violet-green_Swallow-89-2024-06-15-birdnet-05:42:56.mp3,6,0.09179453124999999,0.283461025,9,Common,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:43:26,Turdus migratorius,American Robin,0.7280723,American_Robin-73-2024-06-15-birdnet-05:43:26.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:43:41,Turdus migratorius,American Robin,0.8124667,American_Robin-81-2024-06-15-birdnet-05:43:41.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:43:41,Turdus migratorius,American Robin,0.7784314,American_Robin-78-2024-06-15-birdnet-05:43:41.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:44:26,Turdus migratorius,American Robin,0.70389414,American_Robin-70-2024-06-15-birdnet-05:44:26.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,05:44:56,Turdus migratorius,American Robin,0.80754876,American_Robin-81-2024-06-15-birdnet-05:44:56.mp3,6,0.430558325,0.654255475,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
